CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
COMISSAO;24;09/03/22;COMISSAO 20%;;;2650,33
DIESEL;13;05/03/22;POSTO CINQUENTAO ;297;;1662
DIESEL;13;08/03/22;POSTO CINQUENTAO ;317;;1722
OFICINA DA CARRETA;20;09/03/22;PONTUAL SOLDAS SHEGO;;;220
OFICINA DA CARRETA;20;10/03/22;MP JOSE;;;270
ARLA;14;10/03/22;KR ;;;274,52
LAVADOR ;40;11/03/22;CAFÉ LAVAJATO;;;400
DIESEL;13;11/03/22;POSTO KORUJAO ;821;;4625
PNEUS RESSOLADOS;17;11/03/22;PNEU CENTRAL ;4 BORRACHUDO E 4 LISO;;2370
PNEUS NOVOS;16;10/03/22;RANDON ;2 PNEUS LISOS ;;4920
FRETE FUBA;1;12/03/22;BOM JESUS X SÃO LUIS;;17185;
KM SAIDA ;2;12/03/22;;;;
KM CHEGADA ;3;15/03/22;;;;
COMISSAO;24;12/03/22;COMISSAO ;;;1890,35
PNEUS RESSOLADOS;17;10/03/22;PNEU CENTRAL ; 2 PNEUS ;;1170
DIESEL;13;15/03/22;POSTOS CAMINHONEIRO E DECIO;1518;;8500,61
ARLA;14;15/03/22;POSTOS CAMINHONEIRO E DECIO;;;186,53
OFICINA DA CARRETA;20;15/03/22;FORRO PARA ACUCAR;;;112
LICENÇA RODOVIA;21;15/03/22;DEPOSITO;;;
CLASSIFICADOR;22;15/03/22;CLASSIFICADOR ;;;20
FRETE FUBA;1;17/03/22;GRAJAU X VILA DOS BAAHIANOS ;;9601,34;
KM SAIDA ;2;17/03/22;;;;
KM CHEGADA ;3;20/03/22;;;;
DIESEL;13;20/03/22;POSTOS CAMINHONEIRO E DECIO;1224;;6964,32
ARLA;14;20/03/22;POSTOS CAMINHONEIRO E DECIO;;;383,41
CONCERTO DE PNEUS;18;20/03/22;BORRACHARIA;;;40
LICENÇA RODOVIA;21;20/03/22;DEPOSITO;;;
COMISSAO;24;20/03/22;COMISSAO;;;1056,14
FRETE FUBA;1;22/03/22;BUNGE;GUAPEVA X RIO VERDE;12510;
KM SAIDA ;2;22/03/22;;;;
KM CHEGADA ;3;22/03/22;;;;
DIESEL;13;22/03/22;POSTOS CAMINHONEIRO E DECIO;1129;;6322,81
ARLA;14;22/03/22;POSTOS CAMINHONEIRO E DECIO;;;194,05
LICENÇA RODOVIA;21;22/03/22;DEPOSITOS;;;
COMISSAO;24;22/03/22;COMISSAO;;;1376,1
SEGURO;25;22/03/22;SEGURO  , TAXAS E QUEBRAS;;;246,52
OFICINA DA CARRETA;20;25/03/22;LUVRIFICACAO;;;100
OFICINA DA CARRETA;20;25/03/22;PONTUAL SOLDAS SHEGO;SOLDAS;;370
CTE  GVA;26;28/03/22;ENCARGO ;;;188,25
FRETE FUBA;1;29/03/22;BUNGE;MALU X RIO VERDE;11656;
KM SAIDA ;2;29/03/22;;;;
KM CHEGADA ;3;29/03/22;;;;
DIESEL;13;29/03/22;POSTOS CAMINHONEIRO E DECIO;914;;5117,69
ARLA;14;29/03/22;POSTOS CAMINHONEIRO E DECIO;;;179,51
LICENÇA RODOVIA;21;29/03/22;DEPOSITOS;;;
COMISSAO;24;29/03/22;COMISSAO;;;1282,16
CTE  GVA;26;30/03/22;;;;265,09
FRETE FUBA;1;02/04/22;BUNGE;FAZ. VELHA X RONDONOPOLIS;12205,9;
KM CHEGADA ;3;02/04/22;;;;
KM CHEGADA ;3;04/04/22;;;;
DIESEL;13;04/04/22;POSTOS CAMINHONEIRO E DECIO;713;;4010,3
ARLA;14;04/04/22;POSTOS CAMINHONEIRO E DECIO;;;131,73
LICENÇA RODOVIA;21;04/04/22;DEPOSITO;;;
CONCERTO DE PNEUS;18;04/04/22;BORRACHARIA;;;90
COMISSAO;24;04/04/22;COMISSAO ;;;1337,25
SEGURO;25;04/04/22;SEGURO, TAXAS E QUEBRAS;;;287,61
FRETE FUBA;1;06/04/22;BUNGE;A. ALVORADA CANARANA X TUIB;14937;
KM SAIDA ;2;06/04/22;;;;
KM CHEGADA ;3;06/04/22;;;;
DIESEL;13;06/04/22;POSTOS CAMINHONEIRO E DECIO;1150;;6475
ARLA;14;06/04/22;POSTOS CAMINHONEIRO E DECIO;;;254
LICENÇA RODOVIA;21;06/04/22;DEPOSITO;;;
COMISSAO;24;06/04/22;COMISSAO ;;;1643,07
SEGURO;25;06/04/22;SEGURO E TAXAS;;;63,73
PEDAGIO;29;06/04/22;CONCESSIONARIA;;;172
CLASSIFICADOR;22;06/04/22;CLASSIFICADOR ;;;20
FRETE FUBA;1;12/04/22;BUNG ARMAZEM ELO;XAVANTINA X UBERABA;11787,6;
