CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
LICENÇA RODOVIA;21;09/07/22;DEPOSITO POSTO CAMINHONEIRO ;;;
FRETE FUBA;1;12/07/22;MALU X BRF RIO VERDE;;13969,2;
KM SAIDA ;2;12/07/22;503865;;;
KM CHEGADA ;3;13/07/22;505486;;;
DIESEL;13;13/07/22;CAMINHONEIRO ;833;;6168,54
ARLA;14;13/07/22;CAMINHONEIRO;56;;205,59
SEGURO;25;13/07/22;SEGURO TAXAS;;;59,86
CLASSIFICADOR;22;13/07/22;CLASSIFICADOR ;;;20
CONCERTO DE PNEUS;18;13/07/22;BORRACHARIA;;;70
OFICINA DO CAMINHAO;19;13/07/22;DISCO TACOGRAFO ;;;40
COMISSAO;24;13/07/22;COMISSAO ;;;1536,61
PNEUS NOVOS;16;13/07/22;GONÇALVES E SILVA;2 PNEUS NOVOS;;5480
FRETE FUBA;1;15/07/22;DOIS AMERICANOS X RUMO RIO VERDE;;16051,2;
KM SAIDA ;2;15/07/22;505486;;;
KM CHEGADA ;3;17/07/22;507452;;;
DIESEL;13;17/07/22;CAMINHONEIRO ;1010;;7454
ARLA;14;17/07/22;CAMINHONEIRO ;;;232,32
SEGURO;25;17/07/22;SEGURO E TAXAS;;;68,18
CLASSIFICADOR;22;17/07/22;CLASSIFICADOR ;;;20
COMISSAO;24;17/07/22;COMISSAO ;;;1765,63
LICENÇA RODOVIA;21;17/07/22;DEPOSITO CAMINHONEIRO ;;;
FRETE FUBA;1;05/07/22;MALU X BRF RIO VERDE;;13462,2;
KM SAIDA ;2;05/07/22;500620;;;
KM CHEGADA ;3;06/07/22;502244;;;
COMISSAO;24;06/07/22;COMISSAO ;;;1480,84
DIESEL;13;06/07/22;CAMINHONEIRO;815;;6056,53
ARLA;14;06/07/22;CAMINHONEIRO;52,8;;193
SEGURO;25;06/07/22;SEGURO;;;57,83
CLASSIFICADOR;22;06/07/22;CLASSIFICADOR ;;;20
LICENÇA RODOVIA;21;06/07/22;DEPOSITO POSTO CAMINHONEIRO 09/07/22;;;
FRETE FUBA;1;21/07/22;MALU X RUMO;;13432,5;
KM SAIDA ;2;21/07/22;507452;;;
KM CHEGADA ;3;22/07/22;509179;;;
COMISSAO;24;22/07/22;COMISSAO ;;;1477,57
DIESEL;13;22/07/22;CAMINHONEIRO;850;;6230
ARLA;14;22/07/22;CAMINHONEIRO;54,8;;200
SEGURO;25;22/07/22;SEGURO E TAXAS;;;60,41
CLASSIFICADOR;22;22/07/22;CLASSIFICADOR ;;;20
LAVADOR ;40;22/07/22;LAVADOR;;;450
LICENÇA RODOVIA;21;22/07/22;DEPOSITO CAMINHONEIRO;;;
OFICINA DA CARRETA;20;21/07/22;PONTUAL SOLDAS SHEGO;;;200
OFICINA DO CAMINHAO;19;19/07/22;NASA ;;;648,71
FRETE FUBA;1;24/07/22;KULUENE X SÃO LUIS;;27500;
KM SAIDA ;2;24/07/22;509179;;;
KM CHEGADA ;3;29/07/22;511901;;;
COMISSAO;24;29/07/22;COMISSAO ;;;3025
DIESEL;13;29/07/22;NORDESTE;1535;;11141,6
ARLA;14;29/07/22;MORDESTE;83 LITROS;;351,2
SEGURO;25;29/07/22;SEGURO;;;559,14
PEDAGIO;29;29/07/22;PEDAGIO, BALSA E PROPINA DA BALSA;;;335
TRIAGEM;15;29/07/22;PATIO;;;35
OFICINA DO CAMINHAO;19;29/07/22;OLEO HIDRAILICO ;;;32
OFICINA DO CAMINHAO;19;30/07/22;COLAR DA EMBREAGEM;;;2300
LICENÇA RODOVIA;21;30/07/22;DEPOSITOS;;;
FRETE FUBA;1;01/08/22;SÃO LUIS X QUERENCIA;285;14113,2;
KM SAIDA ;2;01/08/22;511901;;;
KM CHEGADA ;3;03/08/22;513389;;;
COMISSAO;24;03/08/22;COMISSAO;;;1552,45
DIESEL;13;03/08/22;CAMINHONEIRO ;825;;6784,92
ARLA;14;03/08/22;CAMINHONEIRO;;;283,45
SEGURO;25;03/08/22;SEGURO;;;145,05
TRIAGEM;15;03/08/22;PATIO;;;40
OFICINA DA CARRETA;20;03/08/22;SOLDA;;;319
LICENÇA RODOVIA;21;03/08/22;RECEBI EM MAOS ;;;
FRETE FUBA;1;04/08/22;FAZENDA COCAL X BRF RIO VERDE;;13949,6;
KM SAIDA ;2;04/08/22;513389;;;
COMISSAO;24;05/08/22;COMISSAO ;;;1534,45
DIESEL;13;05/08/22;CAMINHONEIRO ;925;;6615
ARLA;14;05/08/22;CAMINHONEIRO ;50;;177,99
SEGURO;25;05/08/22;SEGURO TAXAS;;;59,78
CLASSIFICADOR;22;05/08/22;CLASSIFICADOR ;;;20
CONCERTO DE PNEUS;18;05/08/22;BORRACHARIA;;;120
OFICINA DA CARRETA;20;05/08/22;BORRACHA DE LONA E LUBRIFICAÇÃO ;;;89
LICENÇA RODOVIA;21;05/08/22;RECEBI EM MAOS ;;;
OFICINA DO CAMINHAO;19;05/08/22;RANDON ;01 RODA ;;780
OFICINA DO CAMINHAO;19;06/08/22;SETOR DIRECAO;;;1070
PNEUS NOVOS;16;06/08/22;BRIXX ;2 PNEUS NOVOS;;4000
OFICINA DO CAMINHAO;19;06/08/22;CASA DAS MANGUEIRAS SHEGO;;;100
FRETE FUBA;1;09/08/22;MALU X SÃO LUIZ;508,00 TON;25410,16;
KM SAIDA ;2;09/08/22;514846;;;
KM CHEGADA ;3;11/08/22;517587;;;
COMISSAO;24;12/08/22;COMISSAO ;;;2795,11
DIESEL;13;12/08/22;NORDESTE;1513;;10963,59
ARLA;14;12/08/22;NORDESTE;;;266,05
SEGURO;25;12/08/22;SEGURO;;;216,28
CLASSIFICADOR;22;12/08/22;CLASSIFICADOR ;;;20
TRIAGEM;15;12/08/22;PATIO;;;65
OFICINA DO CAMINHAO;19;12/08/22;VAZAMENTO DIREÇÃO ;MAO DE OBRA;;340
OFICINA DO CAMINHAO;19;12/08/22;VAZAMENTO DIREÇÃO ;;;5,9
OFICINA DO CAMINHAO;19;12/08/22;CHACE ALE;;;180
OFICINA DO CAMINHAO;19;12/08/22;PEÇAS CAMINHA;;;160
LICENÇA RODOVIA;21;12/08/22;DEPOSITOS DE   5.000 + 5.000 + 398,23;;;
PNEUS NOVOS;16;12/08/22;CENTRAL PNEUS ;2 PNEUS NOVOS;;4000
FRETE FUBA;1;15/08/22;SÃO LUIS X VALE VERDE QUERENCIA ;;13591,8;
KM SAIDA ;2;15/08/22;517587;;;
KM CHEGADA ;3;15/08/22;519051;;;
COMISSAO;24;15/08/22;COMISSAO ;;;1495,09
DIESEL;13;15/08/22;NORDESTE;871;;6309,66
ARLA;14;15/08/22;NORDESTE;;;222,36
SEGURO;25;15/08/22;SEGURO;;;100
TRIAGEM;15;15/08/22;PATIO;;;95
CLASSIFICADOR;22;15/08/22;POLICIA PARA;;;20
LICENÇA RODOVIA;21;17/08/22;PIX ;;;
FRETE FUBA;1;17/08/22;FAZ. JULIANA X RIO VERDE;;12281,85;
KM SAIDA ;2;17/08/22;519051;;;
KM CHEGADA ;3;17/08/22;520522;;;
COMISSAO;24;17/08/22;COMISSAO ;;;1351
DIESEL;13;19/08/22;CAMINHONEIRO;948;;6473,42
ARLA;14;19/08/22;CAMINHONEIRO;;;146,81
SEGURO;25;19/08/22;SEGURO;;;7,34
CLASSIFICADOR;22;19/08/22;CLASSIFICADOR ;;;20
CONCERTO DE PNEUS;18;19/08/22;BORRACHARIA;;;90
OFICINA DO CAMINHAO;19;20/08/22;MAO DE OBRA V DO TRUCK;;;470
LICENÇA RODOVIA;21;20/08/22;DEPOSITO CAMINHONEIRO;;;
CONCERTO DE PNEUS;18;20/08/22;CONCERTO DE PNEU ;CARTAO ;;120
OFICINA DO CAMINHAO;19;20/08/22;V DO TRUCK CASTRILON;CARTAO ;;1320
FRETE FUBA;1;23/08/22;FAZ. 5T QUERENCIA X RIO VERDE RUMO;;14511,16;
KM SAIDA ;2;23/08/22;520522;;;
KM CHEGADA ;3;25/08/22;522441;;;
COMISSAO;24;25/08/22;COMISSAO ;;;1596,27
DIESEL;13;25/08/22;DECIO E CAMINHONEIRO ;996;;6806,76
ARLA;14;25/08/22;DECIO E CAMINHONEIRO ;63 LTS;;227,62
SEGURO;25;25/08/22;SEGURO TAXAS E QUEBRA;;;32,28
OFICINA DO CAMINHAO;19;25/08/22;OFICINA DO ITAMAR SHEGO;;;325
LICENÇA RODOVIA;21;25/08/22;DEPOSITO DECIO ;;;
FRETE FUBA;1;27/08/22;FAZ. COCAL X RIO VERDE BRF;;13432,5;
KM SAIDA ;2;27/08/22;522441;;;
KM CHEGADA ;3;29/08/22;524297;;;
COMISSAO;24;29/08/22;COMISSAO;;;1477,57
DIESEL;13;29/08/22;DECIO E CAMINHONEIRO ;908;;6220
ARLA;14;29/08/22;DECIO E CAMINHONEIRO ;44;;162
SEGURO;25;29/08/22;SEGURO E TAXAS;;;57,71
LICENÇA RODOVIA;21;29/08/22;DEPOSITO POSTO CAMINHONEIRO ;;;
FRETE FUBA;1;31/08/22;FAZ. MAUA X RIO VERDE RUMO;;12942,8;
KM SAIDA ;2;31/08/22;524298;;;
KM CHEGADA ;3;31/08/22;526141;;;
COMISSAO;24;31/08/22;COMISSAO ;;;1423,7
DIESEL;13;31/08/22;CAMINHONEIRO ;1050;;7156,57
ARLA;14;31/08/22;CAMINHONEIRO;52,5;;191,25
SEGURO;25;31/08/22;SEGURO TAXAS;;3,98;109,04
CLASSIFICADOR;22;31/08/22;CLASSIFICADOR ;;;20
OFICINA DO CAMINHAO;19;31/08/22;TROCA DE OLEO;;;40
FRETE FUBA;1;06/09/22;RIO VERDE X SÃO FELIX DO ARAGUAIA;ADUBO;9449,24;
KM SAIDA ;2;06/09/22;526.141 KM;;;
KM CHEGADA ;3;08/09/22;527.422 KM;;;
COMISSAO;24;08/09/22;COMISSAO;;;1039,41
DIESEL;13;08/09/22;CAMINHONEIRO;860;;6032,72
ARLA;14;08/09/22;CAMINHONEIRO;30 LTS;;118,34
SEGURO;25;08/09/22;SEGURO TAXAS;;;260,85
CONCERTO DE PNEUS;18;08/09/22;BORRACHARIA;;;120
OFICINA DO CAMINHAO;19;08/09/22;LAMPADAS;;;71
PNEUS RESSOLADOS;17;01/09/22;PNEUS CENTRAL ;4 RESSOLAGEM LISO;;2640
LICENÇA RODOVIA;21;08/09/22;DEPOSITO PIX;;;
FRETE FUBA;1;09/09/22;FAZ. GRABRIELA DO XINGU X SÃO LUIZ;;25642,8;
KM SAIDA ;2;09/09/22;;;;
KM CHEGADA ;3;12/09/22;;;;
DIESEL;13;12/09/22;NORDESTE;945;;6842,59
ARLA;14;12/09/22;NORDESTE;;;239,7
COMISSAO;24;12/09/22;COMISSAO;;;2820,7
SEGURO;25;12/09/22;SEGURO TAXAS;;;72,8
CLASSIFICADOR;22;12/09/22;CLASSIFICADOR ;;;40
TRIAGEM;15;12/09/22;PATIO;;;111
OFICINA DA CARRETA;20;12/09/22;SOLDAS;;;265
LICENÇA RODOVIA;21;12/09/22;PIX ;;;
FRETE FUBA;1;16/09/22;SÃO LUIZ X QUERENCIA;;16764;
KM SAIDA ;2;16/09/22;;;;
KM CHEGADA ;3;20/09/22;;;;
COMISSAO;24;20/09/22;COMISSAO ;;;1844,04
DIESEL;13;20/09/22;NORDESTE;879;;6365,76
ARLA;14;20/09/22;NORDESTE;;;184,85
SEGURO;25;20/09/22;SEGURO;;;107,27
TRIAGEM;15;20/09/22;PATIO;;;141,25
LICENÇA E GURADAS;30;20/09/22;POLICIA E ;;;20
CLASSIFICADOR;22;20/09/22;AGENCIADOR;;;50
OFICINA DA CARRETA;20;20/09/22;MDF ;POSTO FISCAL;;150
LICENÇA RODOVIA;21;20/09/22;DEPOSITO ;;;
FRETE FUBA;1;21/09/22;QUERENCIA RIO X RIO VERDE RUMO;198;9872,28;
KM CHEGADA ;3;22/09/22;531.815 KM;;;
COMISSAO;24;24/09/22;COMISSAO ;;;1085,95
DIESEL;13;24/09/22;DECIO E CAMINHONEIRO ;968;;6219,9
ARLA;14;24/09/22;DECIO E CAMINHONEIRO ;;;144,83
SEGURO;25;24/09/22;SEGURO E TAXAS;;;80,67
OFICINA DA CARRETA;20;24/09/22;OFICINA EM MOTIVIDIU SOCORRO NA RODOVIA;;;400
OFICINA DO CAMINHAO;19;24/09/22;DISCO TACOGRAFO ;;;35
OFICINA DA CARRETA;20;24/09/22;PECAS, MAO DE OBRA, SH, MONTIVIDIU;RODA QUEBRADA ;;1693
LICENÇA RODOVIA;21;24/09/22;DEPOSITO CAMINHONEIRO;;;
FRETE FUBA;1;28/09/22;FAZ. LIBERDADE QUERENCIA X RUMO;ANTES DA VOTACAO;12069,28;
KM SAIDA ;2;28/09/22;531.815 KM;;;
KM CHEGADA ;3;30/09/22;534.109 KM;;;
COMISSAO;24;30/09/22;COMISSAO ;;;1327,62
DIESEL;13;28/09/22;DECIO E CAMINHONEIRO ;1176;;7574,13
ARLA;14;28/09/22;DECIO E CAMINHONEIRO ;46;;167,93
SEGURO;25;30/09/22;SEGURO E TAXAS;;;35,83
CLASSIFICADOR;22;28/09/22;CLASSIFICADOR ;;;20
OFICINA DO CAMINHAO;19;28/09/22;LIMPEZA DO RADIADOR;;;350
LICENÇA RODOVIA;21;28/09/22;DEPOSITO CAMINHONEIRO ;;;
FRETE FUBA;1;05/10/22;COCAL CANARANA X RIO VERDE;;10918,6;
KM SAIDA ;2;05/10/22;534.104 KM;;;
KM CHEGADA ;3;07/10/22;535.819 KM;;;
COMISSAO;24;07/10/22;COMISSAO ;;;1201,04
DIESEL;13;07/10/22;DECIO E CAMINHONEIRO ;880;;5667
ARLA;14;07/10/22;DECIO E CAMINHONEIRO ;;;122,9
SEGURO;25;07/10/22;SEGURO;;;34,98
CLASSIFICADOR;22;05/10/22;CLASSIFICADOR ;;;20
CONCERTO DE PNEUS;18;07/10/22;BORRACHARIA;;;270
OFICINA DO CAMINHAO;19;05/10/22;MAO DE OBRA DO ITAMAR ;MAIS 200 DAS CASAS DOS PARAFUSOS ;;1200
PNEUS NOVOS;16;07/10/22;BRIX PNEUS ;4 PNEUS BORRACHUDOS;;10200
LICENÇA RODOVIA;21;07/10/22;DEPOSITO CAMINHONEIRO  105 EM DINHEIRO ;;;
FRETE FUBA;1;11/10/22;FAZ. PALMEIRA QUERENCIA X RIO VERDE;;10787,07;
KM SAIDA ;2;11/10/22;535.813 KM;1779 KM;;
KM CHEGADA ;3;13/10/22;537.592 KM;1,97 KM/LT.;;
COMISSAO;24;13/10/22;COMISAO;;;1186,57
DIESEL;13;13/10/22;DECIO E CAMINHONEIRO ;900;;5796
ARLA;14;13/10/22;DECIO E CAMINHONEIRO ;34;;124,2
SEGURO;25;10/10/22;SEGURO E TAXAS ;;;80,98
CLASSIFICADOR;22;10/10/22;CLASSIFICADOR ;;;20
LICENÇA RODOVIA;21;13/10/22;DEPOSITO CAMINHONEIRO  602 EM DINHEIRO ;;;
FRETE FUBA;1;14/10/22;ESTRELA DALVA  QUERENCIA ;RUMO;12023,76;
KM SAIDA ;2;14/10/22;537.592 KM;;;
KM CHEGADA ;3;16/10/22;539.530 KM;;;
COMISSAO;24;16/10/22;COMISSAO ;;;1322,61
DIESEL;13;16/11/22;CAMINHONEIRO DECIO;966 LT;;6433,56
ARLA;14;16/10/22;CAMINHONEIRO E DECIO;36;;132,37
CLASSIFICADOR;22;14/10/22;CLASSIFICADOR ;;;20
SEGURO;25;16/10/22;SEGURO TAXAS E QUEBRA;;;52,08
LICENÇA RODOVIA;21;16/10/22;DEPOSITO CAMINHONEIRO ;;;
FRETE FUBA;1;18/10/22;FAZ. JULIANA BOM JJESUS ARAGUAIA ;RUMO;11238,75;
KM SAIDA ;2;18/10/22;539.530 KM ;;;
KM CHEGADA ;3;20/10/22;541.314 KM;;;
COMISSAO;24;20/10/22;COMISSAO ;;;1236,26
DIESEL;13;20/10/22;DECIO E CAMINHONEIRO ;902;;5810,33
ARLA;14;20/10/22;DECIO E CAMINHONEIRO ;;;120,32
SEGURO;25;20/10/22;SEGURO;;;45,34
CLASSIFICADOR;22;20/10/22;CLASSIFICADOR ;;;20
OFICINA DO CAMINHAO;19;20/10/22;NASA ;PECAS PARA REVISAO DO MOTOR ;;1900
FRETE FUBA;1;22/10/22;FAZ. MACUCO QUERENCIA X UBERABA;;17782,68;
KM SAIDA ;2;22/10/22;541314;;;
KM CHEGADA ;3;22/10/22;544022;;;
COMISSAO;24;25/10/22;COMISSAO;;;1956,07
DIESEL;13;25/10/22;DECIO E CAMINHONEIRO ;1350;;8684,43
ARLA;14;25/10/22;DECIO E CAMINHONEIRO ;;;113,51
TRIAGEM;15;25/10/22;PATIO;;;60
CLASSIFICADOR;22;25/10/22;CLASSIFICADOR ;;;20
PEDAGIO;29;25/10/22;CONCESSIONARIA;;;89
SEGURO;25;25/10/22;SEGURO;;;149,99
OFICINA DO CAMINHAO;19;25/10/22;EXTINTOR;;;141,99
FRETE FUBA;1;26/10/22;COFCO CANARANA X RIO VERDE;;8913,6;
KM SAIDA ;2;26/10/22;544022;;;
KM CHEGADA ;3;29/10/22;;;;
COMISSAO;24;29/10/22;COMISSAO ;;;980,49
DIESEL;13;29/10/22;DECIO E CAMINHONEIRO ;770;;4950
SEGURO;25;29/10/22;SEGURO;;;23,32
CLASSIFICADOR;22;29/10/22;CLASSIFICADOR ;;;20
OFICINA DO CAMINHAO;19;29/10/22;PINTAR PLACA DIANTEIRA;;;30
CONCERTO DE PNEUS;18;29/10/22;BORRACHARIA;;;70
OFICINA DO CAMINHAO;19;29/10/22;LONA DE FREIO TRAÇÃO ;DEBITO CARTAO;;930
DIARIA ;4;10/11/22;DIARIA ;;2520;
COMISSAO;24;10/11/22;COMISSAO DA DIARIA ;;;500
FRETE FUBA;1;05/11/22;FAZ JULIANA RIO VERDE;;11229,75;
KM SAIDA ;2;05/11/22;547402;;;
KM CHEGADA ;3;07/11/22;549182;;;
COMISSAO;24;07/11/22;COMISAO;;;1235,27
DIESEL;13;07/11/22;DECIO E CAMINHONEIRO ;928;;6117,62
ARLA;14;07/11/22;DECIO E CAMINHONEIRO ;71;;258,35
SEGURO;25;07/11/22;SEGURO E TAXAS;;;27,32
LAVADOR ;40;07/11/22;LAVADOR ;;;400
OFICINA DO CAMINHAO;19;07/11/22;OLEO HIDRAILICO ;;;67
OFICINA DA CARRETA;20;07/11/22;AUTO ELETRICA SHE;DEBITO CARTAO;;1400
LICENÇA RODOVIA;21;07/11/22;DEPOSITO CAMINHONEIRO ;;;
FRETE FUBA;1;11/11/22;GAUCHA DO NORTE X RUMO;;11349,84;
KM SAIDA ;2;11/11/22;547402;;;
KM CHEGADA ;3;13/11/22;549182;;;
COMISSAO;24;13/11/22;COMISSAO ;;;1248,48
DIESEL;13;13/11/22;DECIO E CAMINHONEIRO ;931;;6126,46
ARLA;14;13/11/22;DECIO E CAMINHONEIRO ;42;;155,08
SEGURO;25;13/11/22;SEGURO TAXAS;;;81,72
LICENÇA RODOVIA;21;13/11/22;DEPOSITO DECIO ;;;
FRETE FUBA;1;14/11/22;FAZ.  TAUVA X RUMO;;12480;
KM SAIDA ;2;14/11/22;549182;;;
KM CHEGADA ;3;16/11/22;551120;;;
COMISSAO;24;16/11/22;COMISSAO;;;1372,8
DIESEL;13;16/11/22;DECIO E CAMINHONEIRO ;962;;6329,54
ARLA;14;16/11/22;DECIO E CAMINHONEIRO ;42;;165,17
SEGURO;25;16/11/22;SEGURO;;;47,32
CLASSIFICADOR;22;14/11/22;CLASSIFICADOR ;;;20
LICENÇA RODOVIA;21;16/11/22;DEPOSITO DECIO ;FALTOU 3,00;;
FRETE FUBA;1;18/11/22;TAUVA X RUMO;;12490;
KM SAIDA ;2;18/11/22;551120;;;
KM CHEGADA ;3;20/11/22;553112;;;
COMISSAO;24;20/11/22;COMISSAO;;;1373,9
DIESEL;13;20/11/22;DECIO E CAMINHONEIRO ;990;;6501,11
ARLA;14;20/11/22;DECIO E CAMINHONEIRO ;;;167,93
SEGURO;25;20/11/22;SEGURO;;;23,35
OFICINA DO CAMINHAO;19;20/11/22;PECAS, MAO DE OBRA, SH, MONTIVIDIU;;;50
PNEUS RESSOLADOS;17;24/11/22;PNEUS CENTRAL ;RESSOLAGEM 2 PNEUS;;1260
TROCA DE OLEO;28;20/11/22;TROCA DE OLEO FILTRO MOTOR TODOS OS FILTROS  ARLA ETC;;;3802
OFICINA DO CAMINHAO;19;24/11/22;REVISAO DO MOTOR;KALANGO;;1500
LICENÇA RODOVIA;21;24/11/22;DEPOSITO;;;
FRETE FUBA;1;25/11/22;FAZ EXTRA QUERENCIA RUMO;;10144,92;
KM SAIDA ;2;25/11/22;553.112 KM;;;
KM CHEGADA ;3;25/11/22;554.939 KM;;;
COMISSAO;24;25/11/22;COMISSAO ;;;1115,94
DIESEL;13;27/11/22;DECIO E CAMINHONEIRO ;898;;5908,61
ARLA;14;27/11/22;DECIO E CAMINHONEIRO ;63 LTS;;232
SEGURO;25;27/11/22;SEGURO ;;;144,31
LICENÇA RODOVIA;21;27/11/22;DEPOSITOS;;;
FRETE FUBA;1;30/11/22;MALU X RUMO;;9736,35;
KM SAIDA ;2;30/11/22;;;;
KM CHEGADA ;3;30/11/22;556354;;;
COMISSAO;24;30/11/22;COMISSAO ;;;1070,99
DIESEL;13;30/11/22;POSTO KR SHEGO ;;;3316,28
SEGURO;25;30/11/22;SEGURO TAXAS;;;44,88
CLASSIFICADOR;22;30/11/22;GORGETA;;;20
OFICINA DO CAMINHAO;19;30/11/22;LIMPEZADA GABINE;;;17
OFICINA DA CARRETA;20;08/12/22;CASA DOS PARAFUSOS ;;;90
OFICINA DA CARRETA;20;08/12/22;RIO VERDE FERRAMENTAS ;ASSOALHO E TAMPAS;;3770,95
OFICINA DA CARRETA;20;08/12/22;MARCOS ANTONIO FREITAS;FRETE;;350
OFICINA DA CARRETA;20;12/12/22;CASA DOS PARAFUSOS ;LIXA FUNDO ;;965
OFICINA DA CARRETA;20;12/12/22;ALEX MARTINS DE JESUS;JATO DE AREIA;;2200
OFICINA DA CARRETA;20;13/12/22;CASA DOS PARAFUSOS ;;;135
OFICINA DA CARRETA;20;13/12/22;CASA DAS MANGUEIRAS SHEGO;;;190
OFICINA DA CARRETA;20;13/12/22;CASA DOS PARAFUSOS ;;;8
OFICINA DA CARRETA;20;14/12/22;WALDIR LUIZ SOBRINHO SHEGO ;;;80
OFICINA DA CARRETA;20;14/12/22;PAULO HENRIQUE APOLINARIO ;;;60
OFICINA DA CARRETA;20;15/12/22;CASA DAS MANGUEIRAS SHEGO;;;50
OFICINA DA CARRETA;20;19/12/22;CASA DOS PARAFUSOS ;;;63
OFICINA DA CARRETA;20;19/12/22;CASA DAS MADEIRAS;;;30
OFICINA DA CARRETA;20;20/12/22;CASA DOS PARAFUSOS ;;;100
OFICINA DA CARRETA;20;20/12/22;CASA GRANDE TINTAS;;;106
OFICINA DA CARRETA;20;21/12/22;DJC AGRICOLA;;;33
OFICINA DA CARRETA;20;21/12/22;CASA GRANDE TINTAS;;;1177
OFICINA DA CARRETA;20;21/12/22;LUCAS MARTINS QUINTO;;;7000
OFICINA DO CAMINHAO;19;22/12/22;LAVA JATO;;;220
OFICINA DA CARRETA;20;23/12/22;CASA DOS PARAFUSOS ;;;250
OFICINA DO CAMINHAO;19;23/12/22;ABASTECIMENTO PARA LEVAR O CAMINHAO;;;51
13 SALARIO;41;05/12/22;PAGOS EM 5 DE DEZEMBRO ;;;8548,7
FÉRIAS ;42;05/12/22;PAGA M 05 DE DEZEMBRO;;;11021,3
SEGURO ASTRACO ;32;31/12/22;SEGURO DOS 12 MESES;;;13101,48
FGTS;33;31/12/22;FGTS DOS 12 MESES;;;2999,35
INSS;34;31/12/22;INSS DOS 12 MESES;;;6058,23
IRRF;35;31/12/22;IMPOSTO DE RENDA DOS FUNCIONARIOS ;MAIS O IMPOSTO DA SIMONE;;2820
CONTADOR ;36;31/12/22;HONORARIOS DO CONTADOR DOS 12 MESES;;;3770
TARIFAS BANCARIAS;37;31/12/22;TARIFA DO BANCO DOS 12 MESES;;;1236
GVA AGENCIADOR DE FRETE;38;31/12/22;AGENCIADORES DE FRETE DOS 12 MESES;;;6270
TAXAS MUNICIPAIS;39;31/12/22;ALVARA DA PREFEITURA;;;199
TAXA CTE;43;31/12/22;TAXA DAS NOTAS FISCAIS;;;2500
SIMPLES NACIONAL;44;31/12/22;IMPOSTO DO GOVERNO;;;3142
MULTAS DE TRANSITO;23;31/12/22;MULTAS DOS 12 MESES;;;390,96
IPVA / LICENC.;27;31/12/22;IPVA;;;5210
LICENÇA RODOVIA;21;31/12/22;LICENCAS PARA RODOVIA;;;1009
